OTU,Average abundance South (Standardised and transformed),Average abundance North (Standardised and transformed),Contribution to variance (%)
Chromohalobacter salexigens strain DSM 3043-08,0.2,0.07,0.36
bacterium 2-40-30,0.33,0.23,0.36
Alcanivorax borkumensis strain SK2-08,0.23,0.11,0.35
Flavobacterium johnsoniae strain UW101-30,0.33,0.26,0.34
Thermosynechococcus elongatus strain BP-1-30,0.16,0.05,0.34
Haemophilus influenzae Rd KW20-30,0.13,0.08,0.34
Colwellia sp. 34H-08,0.21,0.16,0.34
Pelagibacter ubique HTCC1062-01,3.33,3.44,0.33
Candidatus Vesicomyosocius okutanii strain HA-30,0.09,0.09,0.33
Shewanella frigidimarina strain NCIMB 400-30,0.08,0.12,0.32
Synechococcus sp. CC9605-08,0,0.11,0.3
Mycoplasma conjunctivae strain HRC/581-30,0.12,0.04,0.29
Gramella forsetii strain KT0803-01,0.2,0.11,0.29
Roseobacter sp. OCh114-01,0.18,0.14,0.29
Histophilus somni str. 2336-30,0.13,0.02,0.28
Flavobacterium psychrophilum strain JIP02/86-01,0.18,0.08,0.27
Hahella chejuensis strain KCTC 2396-08,0.16,0.07,0.27
Capnocytophaga ochracea strain DSM 7271-30,0.27,0.23,0.26
Marinobacter hydrocarbonoclasticus VT8-30,0.16,0.17,0.26
Synechococcus sp. WH8102-08,0,0.1,0.26
Edwardsiella ictaluri strain 93-146-30,0.13,0.03,0.26
Robiginitalea biformata strain HTCC2501-01,0.19,0.13,0.25
Teredinibacter turnerae strain T7901-30,0.21,0.14,0.25
Microcystis aeruginosa NIES-843-30,0.12,0.02,0.25
Idiomarina loihiensis strain L2TR-30,0.06,0.13,0.25
Acetobacter pasteurianus IFO 3283-01-30,0.11,0.04,0.25
Histophilus somni str. 129PT-30,0.1,0.03,0.24
Kangiella koreensis strain DSM 16069-08,0.15,0.06,0.24
Pseudoalteromonas haloplanktis strain TAC125-08,0.15,0.11,0.24
Kangiella koreensis strain DSM 16069-30,0.1,0.11,0.24
Streptococcus mitis strain B6-30,0.09,0.03,0.23
Pseudomonas stutzeri strain A1501-08,0.13,0.04,0.22
Listeria monocytogenes strain Clip80459-30,0.09,0.02,0.22
Rhodobacter capsulatus strain SB1003-08,0.17,0.14,0.22
Alcanivorax borkumensis strain SK2-30,0.17,0.14,0.21
Rhodobacter capsulatus strain SB1003-30,0.11,0.08,0.21
Silicibacter pomeroyi DSS-3-01,0.13,0.12,0.21
Cellvibrio japonicus strain Ueda107-30,0.19,0.14,0.21
Clostridium difficile strain R20291-30,0.08,0.02,0.2
Silicibacter sp. TM1040-01,0.11,0.11,0.2
Rhodobacter sphaeroides strain ATCC 17025-08,0.11,0.13,0.2
gas vacuolate str. 37-30,0.08,0.11,0.2
epsilon proteobacterium AmH-30,0.07,0.01,0.19
Synechococcus sp. PCC6301-30,0.06,0.04,0.18
Zunongwangia profunda strain SM-A87-01,0.13,0.07,0.18
Synechococcus sp. WH7803-08,0,0.07,0.17
Synechococcus sp. WH8102-30,0.01,0.07,0.17
Jannaschia sp. DFL-12-01,0.1,0.08,0.17
Akkermansia sp. Muc-30,0.01,0.06,0.16
Burkholderia sp. CCGE1002-30,0.07,0.01,0.16
Thiomicrospira crunogena strain XCL-2-30,0.06,0.04,0.16
Synechococcus sp. CC9605-30,0.02,0.06,0.16
Chlorobium phaeobacteroides strain BS1-30,0.07,0.01,0.16
Thioalkalivibrio sp. HL-EbGR7-30,0.09,0.03,0.16
gas vacuolate str. 37-08,0.09,0.03,0.16
Vibrio cholerae strain MJ-1236-30,0,0.06,0.15
Idiomarina loihiensis strain L2TR-08,0.1,0.05,0.15
Hahella chejuensis strain KCTC 2396-30,0.11,0.09,0.15
Synechococcus sp. strain RF-1-30,0.06,0.01,0.15
Prochlorococcus sp. MED4-08,0,0.06,0.15
Rhodobacter sphaeroides strain ATCC 17025-30,0.07,0.07,0.15
Chromohalobacter salexigens strain DSM 3043-30,0.12,0.08,0.15
Rubrivivax gelatinosus PM1-30,0.07,0.02,0.15
Xanthomonas campestris pv. campestris strain B100-30,0.07,0.01,0.15
Synechococcus sp. WH7803-30,0.02,0.06,0.14
Thioalkalivibrio sp. HL-EbGR7-08,0.09,0.03,0.14
Rhodobacter sphaeroides strain ATCC 17029-08,0.1,0.1,0.14
Synechococcus sp. CC9902-01,0,0.05,0.14
Capnocytophaga ochracea strain DSM 7271-01,0.1,0.05,0.14
Flavobacteriaceae bacterium 3519-10-30,0.07,0.07,0.14
Thiomicrospira crunogena strain XCL-2-08,0.08,0.02,0.14
Flavobacterium johnsoniae strain UW101-01,0.09,0.04,0.14
Natrialba magadii strain ATCC 43099-30,0.06,0.01,0.14
Clostridium difficile strain CD196-30,0.05,0.02,0.14
Escherichia coli strain SE11-30,0.06,0.01,0.13
Rhodobacter sphaeroides strain 2.4.1-08,0.09,0.09,0.13
Synechocystis sp.PCC6803-30,0.06,0.01,0.13
Marinomonas sp. MWYL1-01,0.07,0.02,0.13
Shewanella sp. W3-18-1-30,0.03,0.05,0.13
Synechococcus sp. OS-type A strain JA-3-3Ab-30,0.06,0.02,0.13
Paracoccus denitrificans PD1222-08,0.1,0.1,0.13
Anaplasma marginale strain Florida-30,0.05,0,0.13
Rhodobacter sphaeroides strain KD131-08,0.09,0.09,0.13
Flavobacteriaceae bacterium 3519-10-08,0.11,0.08,0.13
Vibrio vulnificus str. YJ016-30,0.04,0.05,0.13
Pedobacter heparinus strain DSM 2366-30,0.05,0.06,0.13
Coraliomargarita akajimensis strain DSM 45221-01,0.05,0.02,0.13
Pseudomonas stutzeri strain A1501-30,0.08,0.06,0.13
Tolumonas auensis strain DSM 9187-30,0.05,0.05,0.13
Jannaschina sp. CCS1-01,0.07,0.06,0.13
Vibrio cholerae strain O395-30,0.06,0.02,0.12
Acaryochloris marina MBIC11017-30,0.06,0.01,0.12
Rhodobacter sphaeroides strain 2.4.1-30,0.06,0.05,0.12
Rhodobacter sphaeroides strain ATCC 17029-30,0.07,0.05,0.12
Azotobacter vinelandii strain DJ-08,0.07,0.02,0.12
Sphingobium japonicum strain UT26S-30,0.05,0.02,0.12
Vibrio parahaemolyticus str. RIMD 2210633-30,0.06,0.01,0.12
Xylella fastidiosa 9a5c-30,0.07,0.04,0.12
Synechococcus sp. strain JA-2-3B'a(2-13)-30,0.06,0.01,0.12
Cyanothece sp. BH68K-30,0.05,0.01,0.12
Azotobacter vinelandii strain DJ-30,0.07,0.03,0.12
Vibrio fischeri strain MJ11-30,0.05,0.01,0.11
Thioalkalivibrio sp. K90mix-08,0.06,0.02,0.11
Methanosarcina barkeri strain Fusaro-30,0.04,0.01,0.11
Rhodobacter sphaeroides strain KD131-30,0.05,0.05,0.11
Microscilla sp. PRE1-01,0.02,0.04,0.11
Francisella philomiragia subsp. philomiragia strain ATCC 25017-30,0.04,0.01,0.1
Proteus mirabilis strain HI4320-30,0.03,0.04,0.1
Methylococcus capsulatus str. Bath-08,0.06,0.02,0.1
Anaplasma phagocytophilum str. HZ-30,0.04,0.01,0.1
Pirellula staleyi strain DSM 6068-30,0.01,0.04,0.1
Lactobacillus fermentum strain IFO 3956-30,0.04,0.01,0.1
Shewanella amazonensis strain SB2B-08,0.05,0.02,0.1
Staphylothermus marinus strain F1-30,0.04,0,0.1
Synechococcus sp. PCC 7425-30,0.06,0.02,0.1
Paracoccus denitrificans PD1222-30,0.06,0.06,0.1
Rhodopirellula baltica strain SH 1-30,0.03,0.03,0.09
Trichodesmium sp. IMS101-30,0.05,0.01,0.09
Shewanella putrefaciens strain CN-32-30,0,0.04,0.09
bacterium 2-40-01,0.06,0.03,0.09
Cytophaga hutchinsonii strain ATCC 33406-30,0.06,0.04,0.09
Hyphomonas neptunium strain ATCC 15444-30,0.02,0.04,0.09
Synechococcus sp. RCC307-30,0.04,0.03,0.09
Novosphingobium aromaticivorans strain DSM 12444-30,0.04,0.01,0.09
Shewanella sp. PV-4-30,0.03,0.03,0.09
Shewanella frigidimarina strain NCIMB 400-08,0.04,0.04,0.09
Pseudomonas putida strain W619-08,0.05,0.01,0.09
Cellvibrio japonicus strain Ueda107-01,0.05,0.03,0.09
Shewanella violacea strain DSS12-30,0.03,0.04,0.09
Pirellula staleyi strain DSM 6068-08,0.01,0.03,0.09
Thioalkalivibrio sp. K90mix-30,0.05,0.02,0.09
Teredinibacter turnerae strain T7901-01,0.05,0.03,0.09
Shewanella sp. WP3-30,0.03,0.03,0.09
Prochlorococcus marinus str. MIT 9301-30,0.03,0.01,0.09
Propionibacterium acnes strain SK137-30,0.03,0.01,0.08
Methanosarcina mazei strain Go1-30,0.04,0.01,0.08
Streptococcus suis str. P1/7-30,0.03,0,0.08
Psychrobacter sp. PRwf-1-08,0.04,0.01,0.08
Shewanella sediminis strain HAW-EB3-08,0.04,0.01,0.08
Erythrobacter litoralis strain HTCC2594-30,0.04,0.05,0.08
Pseudomonas fluorescens strain Pf0-1-08,0.04,0.01,0.08
Pseudomonas aeruginosa str. UCBPP-PA14-08,0.04,0.01,0.08
Prochlorococcus marinus str. MIT 9515-30,0.03,0.01,0.08
Blattabacterium sp. Alboraia-30,0.01,0.03,0.08
Vibrio fischeri strain ES114-30,0.02,0.03,0.08
Shewanella sediminis strain HAW-EB3-30,0.04,0.03,0.08
Pseudomonas fluorescens str. SBW25-08,0.04,0.01,0.08
Pseudomonas aeruginosa str. PAO1-08,0.05,0.02,0.08
Xylella fastidiosa strain M23-30,0.04,0.02,0.08
Photorhabdus luminescens subsp. laumondii str. TTO1-30,0.04,0.03,0.08
Allochromatium vinosum strain DSM 180-08,0.05,0.02,0.08
Pseudomonas entomophila strain L48-08,0.04,0.01,0.08
Pseudomonas putida GB-1-30,0.04,0.02,0.08
Candidatus Sulcia muelleri strain DMIN-08,0.03,0.02,0.08
Anaplasma marginale strain St. Maries-30,0.03,0,0.08
Pseudomonas fluorescens strain Pf-5-08,0.04,0.01,0.08
Pseudomonas putida str. KT2440-08,0.04,0.01,0.08
Shewanella amazonensis strain SB2B-30,0.04,0.03,0.08
Prochlorococcus sp. MIT9211-30,0.03,0.02,0.08
Propionibacterium acnes strain KPA171202-30,0.03,0.01,0.08
Pseudomonas syringae pv. syringae strain B728a-08,0.04,0.01,0.08
Shewanella woodyi strain ATCC 51908-08,0.04,0.02,0.08
Methylococcus capsulatus str. Bath-30,0.04,0.03,0.07
Shewanella violacea strain DSS12-08,0.04,0.02,0.07
Xanthomonas campestris pv. campestris strain 8004-30,0.03,0.01,0.07
Prochlorococcus sp. MED4-30,0.01,0.02,0.07
Shewanella woodyi strain ATCC 51908-30,0.03,0.03,0.07
Burkholderia pseudomallei strain 668-30,0.03,0.01,0.07
Prosthecochloris aestuarii strain DSM 271-30,0.03,0.01,0.07
Pseudomonas aeruginosa strain LESB58-08,0.04,0.01,0.07
Akkermansia sp. Muc-08,0.01,0.03,0.07
Nitrosococcus oceani strain ATCC 19707-30,0.02,0.03,0.07
Allochromatium vinosum strain DSM 180-30,0.04,0.02,0.07
iron-oxidizing lithotroph ES-1-08,0.04,0.01,0.07
Shigella boydii strain CDC 3083-94-30,0.03,0,0.07
Pseudomonas aeruginosa strain PA7-08,0.04,0.02,0.07
Pseudomonas putida GB-1-08,0.04,0.01,0.07
Prochlorococcus sp. MIT9303-08,0,0.03,0.07
iron-oxidizing lithotroph ES-1-30,0.03,0.01,0.07
Candidatus Amoebophilus asiaticus strain 5a2-30,0.02,0.01,0.06
gamma proteobacterium MLHE-1-08,0.04,0.02,0.06
Thermosynechococcus elongatus strain BP-1-08,0.01,0.04,0.06
Halothiobacillus neapolitanus strain c2-30,0.02,0.02,0.06
cyanobacterium UCYN-A-30,0.02,0,0.06
Shewanella pealeana strain ATCC 700345-08,0.03,0.01,0.06
Actinobacillus pleuropneumoniae serovar 3 str. JL03-30,0.02,0.01,0.06
Vibrio sp. Ex25-30,0.03,0.01,0.06
Marinobacter hydrocarbonoclasticus VT8-01,0.04,0.02,0.06
Psychrobacter cryohalolentis strain K5-08,0.03,0,0.06
Aeromonas hydrophila subsp. hydrophila strain ATCC 7966-30,0.03,0.02,0.06
Methylotenera mobilis strain JLW8-30,0.02,0.03,0.06
Parvibaculum lavamentivorans strain DS-1-30,0.02,0.04,0.06
Pseudomonas putida strain F1-08,0.03,0.01,0.06
Pedobacter heparinus strain DSM 2366-08,0.05,0.04,0.06
Rhodopirellula baltica strain SH 1-08,0.01,0.02,0.06
Rubrivivax gelatinosus PM1-08,0.03,0,0.06
Synechococcus sp. RF-2-30,0.02,0.01,0.06
Parvibaculum lavamentivorans strain DS-1-08,0.04,0.04,0.06
Shewanella denitrificans strain OS217-30,0.02,0.03,0.06
Mesorhizobium loti strain MAFF303099-30,0.03,0.01,0.06
Nitrosococcus oceani strain ATCC 19707-08,0.03,0.02,0.06
Actinobacillus pleuropneumoniae serovar 7 strain AP76-30,0.02,0.01,0.06
Psychrobacter sp. 273-4-30,0.02,0.02,0.06
Tolumonas auensis strain DSM 9187-08,0.04,0.02,0.06
Desulfovibrio desulfuricans subsp. desulfuricans strain G20-30,0.02,0.01,0.06
Halothiobacillus neapolitanus strain c2-08,0.03,0.02,0.06
Zymomonas mobilis subsp. mobilis strain NCIMB 11163-30,0.01,0.02,0.06
Vibrio sp. Ex25-08,0.03,0.01,0.06
Vibrio salmonicida LFI1238-30,0.02,0.02,0.06
Leuconostoc mesenteroides subsp. mesenteroides strain ATCC 8293-30,0.02,0.01,0.06
Acinetobacter sp. ADP1-30,0.02,0.01,0.06
Shewanella sp. PV-4-08,0.03,0.01,0.06
Psychrobacter cryohalolentis strain K5-30,0.01,0.02,0.06
Synechococcus sp. RCC307-08,0.01,0.02,0.06
Vibrio harveyi strain ATCC BAA-1116-30,0.03,0.02,0.06
Haemophilus ducreyi str. 35000HP-30,0.01,0.02,0.06
Pseudomonas entomophila strain L48-30,0.03,0.01,0.06
Xanthomonas campestris pv. campestris str. ATCC 33913-30,0.03,0.01,0.06
Pseudomonas syringae pv. phaseolicola strain 1448A-08,0.03,0.01,0.06
Hyphomonas neptunium strain ATCC 15444-08,0.04,0.02,0.06
Rickettsia bellii strain OSU 85-389-30,0.02,0,0.05
deep-sea eubacterium SS9-30,0.02,0.02,0.05
Synechococcus sp. PCC 7424-30,0.03,0.01,0.05
Natronomonas pharaonis strain DSM 2160-30,0.02,0,0.05
gamma proteobacterium MLHE-1-30,0.03,0.02,0.05
Shewanella halifaxensis strain HAW-EB4-30,0.03,0.02,0.05
Prochlorococcus sp. AS9601-30,0.02,0,0.05
Francisella tularensis subsp. novicida U112-08,0.02,0.01,0.05
Vibrio parahaemolyticus str. RIMD 2210633-08,0.02,0,0.05
Shewanella halifaxensis strain HAW-EB4-08,0.02,0,0.05
Burkholderia mallei str. ATCC 23344-30,0.02,0,0.05
Wautersia metallidurans CH34-30,0.02,0.01,0.05
Sphingopyxis alaskensis strain RB2256-30,0.01,0.02,0.05
Variovorax paradoxus strain S110-30,0.02,0.01,0.05
Mycoplasma pneumoniae strain M129-30,0.02,0,0.05
Methylotenera mobilis strain JLW8-08,0.03,0.02,0.05
Pseudomonas syringae pv. tomato str. DC3000-08,0.03,0.01,0.05
Mannheimia succiniciproducens str. MBEL55E-08,0.02,0,0.05
Neisseria meningitidis serogroup B strain MC58-30,0.02,0.01,0.05
Mesorhizobium loti strain MAFF303099-08,0.04,0.03,0.05
Chromohalobacter salexigens strain DSM 3043-01,0.03,0.01,0.05
Dickeya dadantii strain Ech703-30,0.02,0.01,0.05
Methylovorus sp. SIP3-4-30,0.02,0.01,0.05
Candidatus Hamiltonella defensa strain 5AT (Acyrthosiphon pisum)-30,0.02,0,0.05
Francisella tularensis subsp. mediasiatica strain FSC147-30,0.02,0,0.05
Burkholderia pseudomallei strain MSHR346-30,0.02,0,0.05
Prochlorococcus sp. MIT9303-30,0.01,0.02,0.05
Thiomicrospira crunogena strain XCL-2-01,0.03,0.01,0.05
Burkholderia cenocepacia HI2424-30,0.02,0.01,0.05
Coxiella burnetii strain Dugway 5J108-111-08,0.02,0,0.05
Stackebrandtia nassauensis strain DSM 44728-30,0.02,0,0.05
Nitrosococcus halophilus strain Nc4-08,0.03,0.01,0.05
Cytophaga hutchinsonii strain ATCC 33406-08,0.04,0.03,0.05
Neisseria gonorrhoeae strain FA 1090-30,0.02,0,0.05
Vibrio cholerae strain MJ-1236-08,0.01,0.02,0.05
Haemophilus influenzae strain PittEE-30,0.02,0.01,0.05
Alcanivorax borkumensis strain SK2-01,0.03,0.02,0.05
Streptococcus suis strain 05ZYH33-30,0.01,0.01,0.05
Prochlorococcus marinus subsp. marinus str. SS120-30,0.02,0.01,0.05
Mycobacterium abscessus strain ATCC 19977-30,0.02,0,0.05
Pseudomonas aeruginosa str. PAO1-30,0.03,0.02,0.05
Nitrosomonas europaea str. ATCC 19718-30,0.02,0.02,0.05
Aeromonas hydrophila subsp. hydrophila strain ATCC 7966-08,0.03,0.01,0.05
Shewanella denitrificans strain OS217-08,0.03,0.01,0.05
Pseudomonas aeruginosa strain LESB58-30,0.03,0.02,0.05
Nostoc sp. PCC73102-30,0.02,0,0.05
Burkholderia mallei strain 10229-30,0.02,0,0.05
Coxiella burnetii strain CbuK_Q154-30,0.01,0.01,0.05
Pasteurella multocida subsp. multocida strain Pm70-08,0.02,0,0.05
Chloroherpeton thalassium strain ATCC 35110-30,0.02,0.01,0.05
Synechocystis sp. PCC 7942-30,0.02,0,0.05
Blattabacterium sp. Alboraia-08,0.01,0.01,0.05
Spirosoma linguale strain DSM 74-30,0.02,0.01,0.05
Burkholderia pseudomallei strain 1106a-30,0.02,0.01,0.05
Acinetobacter sp. ADP1-08,0.03,0.01,0.05
deep-sea eubacterium SS9-08,0.03,0.01,0.04
Burkholderia mallei strain NCTC 10247-30,0.02,0.01,0.04
Rhodospirillum centenum strain SW-08,0.03,0.01,0.04
Vibrio salmonicida LFI1238-08,0.03,0.01,0.04
Rickettsia felis strain URRWXCal2-30,0.01,0.01,0.04
Yersinia pseudotuberculosis strain IP 32953-30,0.02,0,0.04
Aeromonas salmonicida subsp. salmonicida strain A449-30,0.02,0.02,0.04
Thioalkalivibrio sp. HL-EbGR7-01,0.03,0.01,0.04
Acinetobacter baumannii strain SDF-08,0.02,0,0.04
Nostoc sp. PCC 7937-30,0.02,0.01,0.04
Shewanella sp. WP3-08,0.02,0.01,0.04
Xylella fastidiosa str. Temecula1-30,0.02,0.01,0.04
Pseudomonas aeruginosa str. UCBPP-PA14-30,0.03,0.02,0.04
Rhizobium radiobacter str. C58 (U. Washington)-08,0.03,0.02,0.04
Halorhodospira halophila strain SL1-30,0.02,0,0.04
Pasteurella multocida subsp. multocida strain Pm70-30,0.01,0.01,0.04
Ehrlichia ruminantium strain Welgevonden-30,0.02,0,0.04
Sulcia muelleri SMDSEM-08,0.02,0.01,0.04
Methylobacillus flagellatus strain KT-30,0.02,0.02,0.04
Desulfotalea psychrophila LSv54-30,0.02,0.01,0.04
Pseudomonas fluorescens strain Pf-5-30,0.03,0.01,0.04
Pseudomonas fluorescens str. SBW25-30,0.03,0.02,0.04
Thiobacillus denitrificans strain ATCC 25259-08,0.02,0.01,0.04
Magnetospirillum sp. AMB-1-08,0.03,0.02,0.04
Vibrio cholerae strain O395-08,0.02,0,0.04
Pseudomonas aeruginosa strain PA7-30,0.03,0.02,0.04
Dyadobacter fermentans strain DSM 18053-30,0.02,0.01,0.04
Heliobacterium modesticaldum strain Ice1-30,0.02,0,0.04
Halorhodospira halophila strain SL1-08,0.03,0.01,0.04
endosymbiont of Acanthamoeba sp. UWE25-30,0.02,0.01,0.04
Blattabacterium sp. (Periplaneta americana) strain BPLAN-08,0.01,0.01,0.04
Prochlorococcus marinus str. MIT 9515-08,0,0.02,0.04
Vibrio fischeri strain ES114-08,0.02,0.01,0.04
Geobacter sp. M21-30,0.02,0.01,0.04
Psychrobacter sp. 273-4-08,0.02,0.01,0.04
Dichelobacter nodosus str. VCS1703A-30,0.01,0.01,0.04
Kangiella koreensis strain DSM 16069-01,0.03,0.02,0.04
Nitrosospira multiformis strain ATCC 25196-08,0.02,0.01,0.04
Ochrobactrum anthropi strain ATCC 49188-08,0.03,0.02,0.04
Rhodobacter capsulatus strain SB1003-01,0.02,0.02,0.04
Prochlorococcus sp. MIT9313-30,0.01,0.01,0.04
[Mesorhizobium] sp. BNC1-30,0.01,0.02,0.04
Prochlorococcus sp. MIT9313-08,0,0.02,0.04
Vibrio harveyi strain ATCC BAA-1116-08,0.02,0.01,0.04
Hahella chejuensis strain KCTC 2396-01,0.02,0.01,0.04
Maricaulis maris strain MCS10-30,0.02,0.02,0.04
Porphyromonas gingivalis strain W83-30,0.01,0.01,0.04
Burkholderia pseudomallei strain K96243-30,0.02,0,0.04
Geobacter uraniumreducens Rf4-30,0.01,0,0.04
Synechococcus sp. CC9311-01,0,0.01,0.04
Herpetosiphon aurantiacus DSM 785-30,0.02,0.01,0.04
Magnetospirillum sp. AMB-1-30,0.01,0.01,0.04
Dechloromonas sp. RCB-30,0.01,0.01,0.04
Pseudomonas fluorescens strain Pf0-1-30,0.02,0.01,0.04
Methylotenera mobilis strain JLW8-01,0.04,0.03,0.04
Pseudomonas syringae pv. tomato str. DC3000-30,0.02,0.01,0.04
Flavobacteriaceae bacterium 3519-10-01,0.03,0.01,0.04
Methylovorus sp. SIP3-4-08,0.02,0.01,0.04
Colwellia sp. 34H-01,0.02,0.01,0.04
Mycobacterium sp. JLS-30,0.02,0,0.04
Burkholderia vietnamiensis strain G4-30,0.02,0,0.04
Rhizobium radiobacter str. C58 (U. Washington)-30,0.02,0.01,0.04
Pseudomonas putida strain W619-30,0.03,0.02,0.04
Shewanella pealeana strain ATCC 700345-30,0.01,0.02,0.04
Synechococcus sp. PCC7002-08,0.01,0.02,0.04
Helicobacter pylori strain J99-30,0.01,0.01,0.04
Haemophilus influenzae strain PittGG-08,0,0.01,0.04
Pseudomonas syringae pv. phaseolicola strain 1448A-30,0.02,0.01,0.04
Rhodospirillum rubrum strain ATCC 11170-08,0.02,0.02,0.04
Nitrosococcus halophilus strain Nc4-30,0.02,0.02,0.04
Aciduliprofundum boonei strain T469-30,0,0.01,0.04
Pseudomonas stutzeri strain A1501-01,0.02,0.01,0.04
Synechocystis sp. PCC 7942-08,0.01,0.01,0.04
Yersinia pseudotuberculosis strain PB1/+-30,0.01,0,0.04
Thiobacillus denitrificans strain ATCC 25259-30,0.02,0.01,0.04
Mannheimia succiniciproducens str. MBEL55E-30,0.01,0,0.04
Haemophilus parasuis strain SH0165-30,0.01,0.01,0.04
Orientia tsutsugamushi strain Ikeda-30,0.01,0.01,0.04
Methylobacillus flagellatus strain KT-08,0.03,0.01,0.04
Edwardsiella tarda strain EIB202-30,0.01,0.01,0.04
Histophilus somni str. 129PT-08,0.02,0.01,0.04
Vibrio fischeri strain MJ11-08,0.02,0.01,0.04
Rubrobacter xylanophilus strain DSM 9941-30,0.01,0,0.04
Xylella fastidiosa strain M12-30,0.01,0,0.03
Phenylobacterium zucineum strain HLK1-30,0.01,0.01,0.03
Acidimicrobium ferrooxidans strain DSM 10331-30,0.01,0.01,0.03
Pelobacter carbinolicus strain DSM 2380-30,0.02,0,0.03
Methanococcus vannielii strain SB-30,0.01,0,0.03
Pseudomonas syringae pv. syringae strain B728a-30,0.02,0.01,0.03
Nitrobacter winogradskyi strain Nb-255-30,0.01,0.01,0.03
Nostoc sp. strain PCC 7120-30,0.02,0.01,0.03
Actinobacillus succinogenes strain 130Z-30,0.01,0.01,0.03
Aeromonas salmonicida subsp. salmonicida strain A449-08,0.02,0.01,0.03
Herminiimonas arsenicoxydans Muller et al. 2006-30,0.01,0.02,0.03
Pseudomonas putida str. KT2440-30,0.02,0.01,0.03
Coxiella burnetii str. RSA 493-30,0.01,0,0.03
Rothia mucilaginosa strain DY-18-30,0.01,0,0.03
Haemophilus parasuis strain SH0165-08,0.01,0,0.03
Acinetobacter baumannii strain AB0057-08,0.01,0.01,0.03
Rhodobacter sphaeroides strain ATCC 17025-01,0.02,0.02,0.03
