OTU	North_of_PF 01	North_of_PF 08	North_of_PF 30	South_of_PF 01	South_of_PF 08	South_of_PF 30
Synechococcus sp. PCC7002	0.003269	0.04324	0.06242	0.004113	0.02167	0.4194
Pedobacter heparinus strain DSM 2366	0.01341	0.09014	0.1253	0.02425	0.1033	0.121
Pirellula staleyi strain DSM 6068	0.004432	0.07115	0.08315	0.001033	0.02029	0.02253
Methylococcus capsulatus str. Bath	0.0137	0.04845	0.06326	0.02467	0.1339	0.09444
Haemophilus influenzae Rd KW20	0.001246	0.008371	0.1715	0.002301	0.004649	0.3402
Azotobacter vinelandii strain DJ	0.009135	0.0515	0.05807	0.01958	0.1507	0.1606
Thioalkalivibrio sp. K90mix	0.0132	0.04402	0.04367	0.02772	0.1385	0.1057
Histophilus somni str. 2336	0.001526	0.007015	0.04094	0.004426	0.02192	0.3101
Edwardsiella ictaluri strain 93-146	0.001585	0.01798	0.06427	0.002477	0.02189	0.2995
Parvibaculum lavamentivorans strain DS-1	0.04425	0.09098	0.07425	0.02717	0.08084	0.04242
Rhodopirellula baltica strain SH 1	0.004619	0.05328	0.07318	0.00151	0.01647	0.07129
Akkermansia sp. Muc	0.002056	0.06149	0.1394	0.001018	0.01237	0.0283
Cytophaga hutchinsonii strain ATCC 33406	0.0101	0.06236	0.07582	0.02081	0.07802	0.1268
Erythrobacter litoralis strain HTCC2594	0.02044	0.06226	0.1084	0.012	0.06782	0.0848
Acetobacter pasteurianus IFO 3283-01	0.005277	0.01108	0.07886	0.002548	0.02713	0.2805
Mycoplasma conjunctivae strain HRC/581	0	0	0.08421	0	0	0.328
Allochromatium vinosum strain DSM 180	0.01084	0.03445	0.04136	0.02269	0.1034	0.08613
Histophilus somni str. 129PT	0.002474	0.01001	0.05316	0.00241	0.03549	0.2601
gamma proteobacterium MLHE-1	0.01091	0.03877	0.03944	0.01793	0.09416	0.06919
Methylotenera mobilis strain JLW8	0.06508	0.04157	0.05468	0.08401	0.06891	0.0403
Microcystis aeruginosa NIES-843	0.0009827	0.01858	0.04074	0.000743	0.01403	0.2694
Streptococcus mitis strain B6	0.0001763	0.006103	0.05018	0	0.003238	0.2229
Tolumonas auensis strain DSM 9187	0.005352	0.0321	0.09821	0.01137	0.08244	0.1213
Shewanella violacea strain DSS12	0.006744	0.03273	0.08752	0.01637	0.09642	0.08017
Nitrosospira multiformis strain ATCC 25196	0.004455	0.01401	0.01159	0.03022	0.04088	0.03385
Magnetospirillum sp. AMB-1	0.01454	0.04297	0.02747	0.01342	0.06192	0.03102
Shewanella amazonensis strain SB2B	0.00703	0.03555	0.06188	0.01908	0.1151	0.08162
Hyphomonas neptunium strain ATCC 15444	0.00789	0.03483	0.08751	0.009999	0.08174	0.05155
Synechococcus sp. CC9605	0.004298	0.258	0.1275	0.0003171	0.00509	0.04784
Rubrivivax gelatinosus PM1	0.003505	0.009063	0.03844	0.009559	0.06121	0.1589
Mesorhizobium loti strain MAFF303099	0.01211	0.05871	0.02906	0.01453	0.09511	0.06989
Nitrosococcus oceani strain ATCC 19707	0.009108	0.03853	0.06987	0.02112	0.0693	0.0485
Nitrosococcus halophilus strain Nc4	0.00978	0.02887	0.03304	0.02418	0.06964	0.0519
Shewanella woodyi strain ATCC 51908	0.006724	0.04102	0.06127	0.01371	0.09823	0.06822
Rhodospirillum centenum strain SW	0.01846	0.03025	0.02404	0.01137	0.06163	0.03351
Propionibacterium acnes strain KPA171202	0.0003682	0.0009639	0.01716	0.001137	0.007596	0.06151
Clostridium difficile strain R20291	0.0002491	0.001069	0.03507	0.0001427	0.00144	0.1843
Pseudomonas aeruginosa str. PAO1	0.004627	0.03484	0.04019	0.01307	0.1001	0.0669
Methylovorus sp. SIP3-4	0.04303	0.03073	0.02645	0.05445	0.05425	0.04502
Methylobacillus flagellatus strain KT	0.03534	0.02912	0.03514	0.04639	0.06003	0.03526
Pseudomonas putida GB-1	0.004049	0.02525	0.03699	0.01077	0.0807	0.09828
Synechococcus sp. WH8102	0.004996	0.2163	0.1401	0.0002831	0.003777	0.01437
Xylella fastidiosa 9a5c	0.00169	0.008611	0.09432	0.001316	0.01311	0.1537
Pseudomonas aeruginosa strain PA7	0.00617	0.04162	0.03991	0.01368	0.09102	0.05982
Shewanella sediminis strain HAW-EB3	0.003895	0.01868	0.05377	0.009604	0.08841	0.07853
iron-oxidizing lithotroph ES-1	0.007717	0.01884	0.02602	0.02078	0.07718	0.06497
Halothiobacillus neapolitanus strain c2	0.01192	0.03144	0.04088	0.02091	0.07703	0.04799
Pseudomonas putida strain W619	0.004206	0.0253	0.03704	0.01084	0.09977	0.05822
Listeria monocytogenes strain Clip80459	0	0.0005557	0.03741	0.001074	0.002416	0.2019
Vibrio parahaemolyticus str. RIMD 2210633	0.002525	0.009228	0.02571	0.007042	0.05297	0.1253
Pseudomonas aeruginosa str. UCBPP-PA14	0.005091	0.02713	0.03872	0.01259	0.09415	0.06157
Vibrio vulnificus str. YJ016	0.002045	0.02711	0.09617	0.005111	0.04088	0.08311
Pseudomonas aeruginosa strain LESB58	0.005861	0.03117	0.03886	0.008609	0.09031	0.05731
Synechococcus sp. PCC6301	0.0008726	0.01498	0.07916	0.00288	0.01728	0.1443
Rhodospirillum rubrum strain ATCC 11170	0.01657	0.03656	0.02492	0.01022	0.04965	0.02054
Pseudomonas fluorescens str. SBW25	0.004881	0.02256	0.03878	0.01227	0.0897	0.05795
Synechococcus sp. WH7803	0.003032	0.1386	0.1189	0.001135	0.007101	0.05165
Pseudomonas entomophila strain L48	0.004591	0.0235	0.02615	0.01339	0.08934	0.06946
Cenarchaeum symbiosum A	0.000155	0	0	0.01494	0	0
Sphingobium japonicum strain UT26S	0.004011	0.01331	0.03478	0.003043	0.0175	0.1204
Shewanella sp. PV-4	0.003484	0.01918	0.06028	0.009104	0.06756	0.06677
Chlorobium phaeobacteroides strain BS1	0.001207	0.013	0.02925	0.001917	0.008931	0.1553
Pseudomonas fluorescens strain Pf0-1	0.004886	0.02294	0.02511	0.01145	0.09439	0.0478
Synechococcus sp. OS-type A strain JA-3-3Ab	0.0009205	0.01254	0.04756	0.001188	0.02322	0.1372
Francisella philomiragia subsp. philomiragia strain ATCC 25017	0.008764	0.01788	0.0304	0.0167	0.03712	0.09514
Psychrobacter sp. 273-4	0.005799	0.01685	0.03304	0.008428	0.04106	0.03416
Aeromonas hydrophila subsp. hydrophila strain ATCC 7966	0.003632	0.02753	0.03619	0.008706	0.0619	0.0706
epsilon proteobacterium AmH	0.001212	0.0101	0.01808	0.0003322	0.003916	0.174
Rhizobium radiobacter str. C58 (U. Washington)	0.008556	0.04215	0.02453	0.01466	0.07058	0.0498
Vibrio cholerae strain O395	0.000536	0.004367	0.04623	0.002085	0.0357	0.1266
Novosphingobium aromaticivorans strain DSM 12444	0.005448	0.02033	0.01772	0.004769	0.03127	0.09333
Pseudomonas fluorescens strain Pf-5	0.004001	0.019	0.02555	0.01136	0.08569	0.05796
Synechococcus sp. PCC 7425	0.0006874	0.02321	0.04405	0.001542	0.01475	0.1291
Maricaulis maris strain MCS10	0.01345	0.03668	0.03443	0.008713	0.05199	0.03498
Pseudomonas putida str. KT2440	0.004128	0.025	0.02938	0.01072	0.08792	0.04826
Burkholderia sp. CCGE1002	0.0009954	0.005601	0.01504	0.001641	0.01299	0.1612
Shewanella sp. WP3	0.002873	0.01549	0.0659	0.008952	0.04969	0.06352
Pseudomonas syringae pv. syringae strain B728a	0.004872	0.02077	0.02364	0.01087	0.08446	0.05063
Halorhodospira halophila strain SL1	0.007813	0.02514	0.009377	0.01432	0.05495	0.03943
Vibrio fischeri strain MJ11	0.003108	0.01173	0.01961	0.006049	0.03466	0.1034
Psychrobacter cryohalolentis strain K5	0.004537	0.009799	0.04767	0.006796	0.06158	0.02153
deep-sea eubacterium SS9	0.003834	0.02485	0.03795	0.008646	0.05594	0.04298
Vibrio sp. Ex25	0.003626	0.01883	0.02955	0.008317	0.06287	0.06554
Proteus mirabilis strain HI4320	0.00309	0.02056	0.07975	0.003586	0.03125	0.06409
Chitinophaga pinensis strain DSM 2588	0.003576	0.02761	0.04746	0.00633	0.03164	0.05782
Shewanella halifaxensis strain HAW-EB4	0.003184	0.008118	0.04873	0.006989	0.05099	0.05793
Photorhabdus luminescens subsp. laumondii str. TTO1	0.001049	0.005466	0.05872	0.001681	0.01663	0.09041
Pseudomonas putida strain F1	0.003118	0.02553	0.02733	0.009699	0.07445	0.04705
Xanthomonas campestris pv. campestris strain B100	0.0007907	0.001755	0.01966	0.001097	0.0069	0.1476
Synechococcus sp. strain RF-1	0.0005322	0.006721	0.01929	0.001892	0.007741	0.1443
Synechococcus sp. strain JA-2-3B'a(2-13)	0.0006119	0.01232	0.0258	0.0007553	0.01899	0.1271
Hirschia baltica strain ATCC 49814	0.01187	0.03475	0.02271	0.01112	0.0595	0.02896
Thiobacillus denitrificans strain ATCC 25259	0.01012	0.01847	0.02553	0.01761	0.05359	0.03393
Acaryochloris marina MBIC11017	0.0007707	0.007147	0.02761	0.00151	0.01039	0.1316
Acinetobacter sp. ADP1	0.007758	0.02357	0.03018	0.0113	0.06073	0.04902
Vibrio harveyi strain ATCC BAA-1116	0.002297	0.02574	0.04701	0.005996	0.04913	0.05823
Natrialba magadii strain ATCC 43099	0	0.001241	0.02774	0	0.003473	0.137
Shewanella sp. W3-18-1	0.001976	0.03062	0.099	0.003414	0.0203	0.06371
Synechocystis sp.PCC6803	0.001162	0.01405	0.01569	0.002422	0.01531	0.1273
Herminiimonas arsenicoxydans Muller et al. 2006	0.008084	0.01573	0.03491	0.01207	0.03808	0.01757
[Mesorhizobium] sp. BNC1	0.009975	0.024	0.03327	0.009829	0.04627	0.02761
Shewanella denitrificans strain OS217	0.002942	0.02153	0.06166	0.006745	0.05901	0.03441
Sphingopyxis alaskensis strain RB2256	0.006221	0.01518	0.04734	0.004537	0.02767	0.02849
Synechococcus sp. RCC307	0.003685	0.04742	0.06157	0.002747	0.01333	0.07929
Prochlorococcus sp. MED4	0.01691	0.1333	0.04886	0.00277	0.008221	0.03181
Trichodesmium sp. IMS101	0.01115	0.02506	0.02323	0.009044	0.01404	0.09937
Shewanella pealeana strain ATCC 700345	0.003152	0.0148	0.03258	0.009898	0.06734	0.03323
Vibrio fischeri strain ES114	0.002811	0.02681	0.07209	0.004003	0.03954	0.04322
Dyadobacter fermentans strain DSM 18053	0.005154	0.02757	0.02196	0.009088	0.03874	0.0457
Psychrobacter sp. PRwf-1	0.006793	0.01375	0.0127	0.01293	0.08434	0.01885
Desulfotalea psychrophila LSv54	0.002439	0.01154	0.01779	0.006966	0.03756	0.03616
Pseudomonas syringae pv. phaseolicola strain 1448A	0.004085	0.02066	0.01693	0.01013	0.062	0.04785
Vibrio salmonicida LFI1238	0.002836	0.01919	0.03571	0.007156	0.05731	0.04872
Spirosoma linguale strain DSM 74	0.004095	0.02177	0.02563	0.006867	0.02904	0.05382
Vibrio cholerae strain MJ-1236	0.001059	0.03417	0.1339	0.003982	0.03107	0
Propionibacterium acnes strain SK137	0.001341	0.005275	0.0174	0.002254	0.009607	0.07696
Ochrobactrum anthropi strain ATCC 49188	0.006243	0.04768	0.02144	0.007636	0.05653	0.01287
Cyanothece sp. BH68K	0.001124	0.01029	0.02697	0.001381	0.009194	0.1152
Verrucomicrobiales str. PB90-1	0.001635	0.01286	0.0235	0.001587	0.01334	0.02004
Nitrosomonas europaea str. ATCC 19718	0.004466	0.01027	0.03445	0.01221	0.01667	0.04478
Escherichia coli strain SE11	0.0001503	0	0.02072	0	0.000531	0.1262
Pseudomonas syringae pv. tomato str. DC3000	0.003304	0.01746	0.01907	0.008908	0.06072	0.04373
Anaplasma marginale strain Florida	0	0.001939	0.01043	0.0001438	0	0.1346
Granulobacter bethesdensis CGDNIH1	0.01308	0.03405	0.02082	0.006547	0.02993	0.01485
Clostridium difficile strain CD196	0.0001055	0.001245	0.03601	0.0004887	0.0009437	0.1158
Rhodothermus marinus strain DSM 4252	0.002197	0.007666	0.01409	0.008693	0.01998	0.01802
Blattabacterium sp. Alboraia	0.0155	0.02101	0.06258	0.02235	0.03134	0.01245
Acidimicrobium ferrooxidans strain DSM 10331	0.004907	0.000293	0.01216	0.003406	0.009656	0.01833
Aeromonas salmonicida subsp. salmonicida strain A449	0.003469	0.01742	0.03877	0.007286	0.04498	0.03435
Francisella tularensis subsp. novicida U112	0.01837	0.02881	0.005938	0.02425	0.04003	0.01195
Azospirillum sp. B510	0.01243	0.01266	0.01452	0.009972	0.0184	0.01219
Nitrosomonas eutropha strain C91	0.005435	0.01443	0.01291	0.01118	0.01938	0.02355
Rhizobium radiobacter K84	0.005913	0.02797	0.01812	0.007303	0.04706	0.01556
Xanthomonas campestris pv. campestris strain 8004	0.0006122	0.00213	0.01638	0.0008347	0.005052	0.07627
Candidatus Amoebophilus asiaticus strain 5a2	0.00254	0.01198	0.03104	0.005625	0.01249	0.04753
Magnetococcus sp. MC-1	0.002929	0.01261	0.01933	0.003443	0.02032	0.0245
Rhizobium sp. NGR234	0.007388	0.01909	0.0117	0.008584	0.03088	0.02919
Oligotropha carboxidovorans strain OM5	0.007069	0.01782	0.009538	0.004069	0.01345	0.02462
Xylella fastidiosa strain M23	0.0007564	0.005458	0.0365	0.0006937	0.004347	0.08189
Prochlorococcus marinus str. MIT 9515	0.003785	0.03313	0.02698	0.001953	0.007849	0.06413
Pelobacter carbinolicus strain DSM 2380	0.001955	0.01318	0.008798	0.001433	0.008798	0.03442
Legionella longbeachae strain NSW150	0.00562	0.02096	0.01444	0.008155	0.03136	0.02854
Dechloromonas sp. RCB	0.002697	0.00966	0.01558	0.006351	0.02146	0.02817
Agrobacterium vitis strain S4	0.006847	0.02012	0.01196	0.008632	0.03802	0.02101
Methanosarcina barkeri strain Fusaro	0	0.0009331	0.01086	0.000108	0.000609	0.09818
Cenarchaeum symbiosum B	0.0002063	0	0	0.008189	0	0
Nitrobacter winogradskyi strain Nb-255	0.006521	0.02696	0.0166	0.003616	0.02319	0.02569
Prochlorococcus sp. MIT9211	0.0008165	0.01895	0.03092	0.0009191	0.008703	0.05916
Prosthecochloris aestuarii strain DSM 271	0.001637	0.005212	0.01695	0.003825	0.01084	0.06045
Haemophilus influenzae strain PittEE	0.002799	0.008709	0.0222	0.001832	0.02585	0.04864
Dichelobacter nodosus str. VCS1703A	0.009055	0.01359	0.02725	0.00958	0.03433	0.0147
Methanosarcina mazei strain Go1	0.0002209	0.0007398	0.01381	0	0.000932	0.07809
Polaromonas sp. JS666	0.002809	0.01183	0.008806	0.003286	0.01656	0.009456
Lactobacillus fermentum strain IFO 3956	0	0.000112	0.01793	0	0.001835	0.08975
Chloroherpeton thalassium strain ATCC 35110	0.0021	0.007829	0.02113	0.002616	0.01305	0.0364
Variovorax paradoxus strain S110	0.001973	0.00627	0.01688	0.00313	0.01493	0.05199
Bradyrhizobium japonicum str. USDA 110	0.00259	0.01461	0.01719	0.003648	0.02218	0.0159
Xanthomonas campestris pv. campestris str. ATCC 33913	0.000728	0.00239	0.02144	0.001193	0.006218	0.05919
Azoarcus sp. BH72	0.004751	0.01592	0.01345	0.006116	0.02832	0.01926
Thauera sp. MZ1T	0.004003	0.01046	0.008999	0.00613	0.03365	0.01719
Anaplasma phagocytophilum str. HZ	0.000759	0	0.01734	0.001027	0.0007531	0.08657
Parabacteroides distasonis strain ATCC 8503	0.002193	0.01347	0.02857	0.004317	0.01949	0.02096
Leptothrix cholodnii strain SP-6	0.002121	0.00686	0.01064	0.005164	0.02515	0.01784
Prochlorococcus marinus str. MIT 9301	0.001908	0.009913	0.02394	0.0008427	0.009347	0.06424
Dickeya dadantii strain Ech703	0.001846	0.008581	0.017	0.002841	0.02177	0.0517
Laribacter hongkongensis strain HLHK9	0.004336	0.01877	0.01857	0.008843	0.03257	0.01433
Verrucomicrobiae bacterium V4	0	0.002666	0.0125	0.0006076	0.007062	0.002848
Pasteurella multocida subsp. multocida strain Pm70	0.003404	0.001765	0.01156	0.008102	0.03913	0.02998
Staphylothermus marinus strain F1	0	0.0005998	0.004074	0	0	0.0933
Candidatus Sulcia muelleri strain GWSS	0.004802	0.003225	0	0.01406	0.0136	0.00971
Minibacterium massiliensis	0.005756	0.01126	0.01834	0.006341	0.01969	0.0197
Blattabacterium sp. (Periplaneta americana) strain BPLAN	0.01016	0.01389	0	0.02045	0.03197	0
Shewanella sp. MR-1	0.001274	0.009711	0.03551	0.003009	0.02006	0.03438
Shewanella putrefaciens strain CN-32	0.000535	0.01997	0.08112	0.001647	0.01987	0.007568
Microscilla sp. PRE1	0.08659	0	0	0.03861	0	0
Sinorhizobium medicae WSM419	0.008784	0.01515	0.007778	0.01305	0.02587	0.01688
Wautersia metallidurans CH34	0.001604	0.0035	0.01237	0.00344	0.01287	0.05151
Prochlorococcus sp. MIT9303	0.0004711	0.05292	0.0377	0.0006856	0.001984	0.01796
Xanthomonas sp. Py2	0.006285	0.01255	0.005448	0.004073	0.02331	0.02986
Sinorhizobium meliloti strain 1021	0.008384	0.01692	0.01521	0.008727	0.02484	0.01648
Mannheimia succiniciproducens str. MBEL55E	0.003002	0.00471	0.004929	0.004487	0.04618	0.02877
Shewanella sp. MR-7	0.001289	0.01153	0.02405	0.00351	0.02303	0.03494
Azoarcus sp. EbN1	0.003609	0.006834	0.01332	0.005134	0.02771	0.02646
Rhizobium sp. ORS571	0.006432	0.02293	0.01859	0.004374	0.0204	0.01336
Sphingomonas wittichii strain RW1	0.003966	0.01278	0.02136	0.003129	0.01638	0.01832
Phenylobacterium zucineum strain HLK1	0.005494	0.01034	0.0174	0.003899	0.01405	0.03081
Synechocystis sp. PCC 7942	0.00128	0.02413	0	0.001076	0.0259	0.04159
Burkholderia pseudomallei strain 668	0.0001784	0.001207	0.01207	0.0004569	0.004327	0.07244
Porphyromonas gingivalis strain W83	0.004515	0.009479	0.01941	0.006073	0.01914	0.03048
Candidatus Accumulibactor phosphatis Type IIA str. UW-1	0.001921	0.007258	0.01155	0.005037	0.02101	0.0155
Polynucleobacter sp. QLW-P1DMWA-1	0.006321	0.01778	0.01962	0.008334	0.02614	0.004997
Aciduliprofundum boonei strain T469	0.001086	0.005629	0.02227	0	0.001568	0.008727
Gluconobacter oxydans strain 621H	0.004517	0.03022	0.02179	0.00249	0.01539	0.01623
Prochlorococcus sp. AS9601	0.002201	0.01128	0.008537	0.003712	0.01644	0.04243
Edwardsiella tarda strain EIB202	0.001373	0.01143	0.01515	0.003247	0.02306	0.03231
Acidiphilum cryptum JF-5	0.009451	0.01715	0.008375	0.005575	0.01622	0.007459
Coxiella burnetii strain CbuK_Q154	0.001031	0	0.01929	0.004997	0.009629	0.02717
Synechococcus sp. PCC 7424	0.000845	0.006024	0.0161	0.000494	0.004944	0.05496
Rickettsia bellii strain OSU 85-389	0.002179	0.001403	0.005069	0.002405	0.01474	0.04336
Nostoc sp. PCC 7937	0.0005591	0.006363	0.01357	0.0007829	0.007979	0.04943
Prochlorococcus sp. MIT9313	0.0002945	0.0317	0.01825	0.0001688	0.003348	0.03226
Burkholderia pseudomallei strain MSHR346	0.0007472	0.0023	0.008479	0.0008625	0.003054	0.04671
Streptococcus suis str. P1/7	0	0	0.007946	0	0.0004907	0.07163
Bordetella petrii strain DSM 12804	0.003718	0.01058	0.01265	0.006065	0.01828	0.01733
Haemophilus ducreyi str. 35000HP	0.0004988	0.005478	0.03839	0.003153	0.013	0.02501
Actinobacillus pleuropneumoniae serovar 3 str. JL03	0.000483	0	0.01229	0.001172	0.008194	0.05331
Anaplasma marginale strain St. Maries	0.0006964	0.001803	0.0004608	0	0.005302	0.06659
Haemophilus parasuis strain SH0165	0.00297	0.008823	0.02248	0.00534	0.02964	0.01506
Desulfovibrio desulfuricans subsp. desulfuricans strain G20	0.0003503	0.001361	0.01532	0.0008705	0.002779	0.05499
Actinobacillus pleuropneumoniae serovar 7 strain AP76	0.001499	0.005198	0.01701	0.002881	0.01029	0.04349
Rhodopseudomonas palustris strain BisB5	0.004003	0.008101	0.006645	0.002094	0.008012	0.01012
Polaromonas naphthalenivorans strain CJ2	0.001688	0.006476	0.007269	0.002811	0.02329	0.0131
Herpetosiphon aurantiacus DSM 785	0.001521	0.0008388	0.0114	0.001025	0.001044	0.03873
Zymomonas mobilis subsp. mobilis strain NCIMB 11163	0.005393	0.007872	0.03484	0.002079	0.004762	0.0249
Verminephrobacter eiseniae strain EF01-2	0.003169	0.004064	0.006443	0.005917	0.02279	0.008178
Diaphorobacter sp. TPSY	0.001467	0.005367	0.01387	0.002075	0.01289	0.01377
Pelodictyon luteolum DSM 273	0.0005508	0.007935	0.001081	0.001287	0.008042	0.02453
Bradyrhizobium sp. BTAi1	0.0027	0.007958	0.005597	0.003205	0.01804	0.01488
Actinobacillus succinogenes strain 130Z	0.003352	0.008906	0.02005	0.005272	0.018	0.02058
Nostoc sp. strain PCC 7120	0.0005403	0.004596	0.0205	0.0008854	0.006647	0.04324
Geobacter sp. M21	0.0003615	0.002006	0.01084	0.000822	0.006453	0.03728
endosymbiont of Acanthamoeba sp. UWE25	0.0001748	0.002228	0.01338	0.0004456	0.002927	0.03431
Sulfurovum sp. NBC37-1	0.001774	0.007418	0.001896	0.003098	0.007028	0.01139
Shewanella trabarsenatis	0.001831	0.007008	0.02653	0.002493	0.01998	0.01783
Bacteroides vulgatus strain ATCC 8482	0.001146	0.01402	0.01623	0.002903	0.01374	0.01553
Gemmatimonas aurantiaca strain T-27	0.0006792	0.00428	0.003128	0.001946	0.006914	0.01375
Synechococcus sp. RF-2	0.0004837	0.00524	0.0104	0.0003423	0.00147	0.05194
Beijerinckia indica subsp. indica strain ATCC 9039	0.006097	0.01385	0.02121	0.003643	0.009942	0.01485
Bradyrhizobium sp. ORS278	0.003132	0.01014	0.008425	0.002259	0.01139	0.01023
Xenorhabdus bovienii strain SS-2004	0.002307	0.00272	0.0106	0.003485	0.02098	0.02737
Rubrobacter xylanophilus strain DSM 9941	0.001492	0.002466	0.002286	0.001303	0.003837	0.02952
Chromobacterium violaceum str. ATCC 12472	0.002863	0.008091	0.01452	0.004289	0.02612	0.01359
Chlorobium limicola strain DSM 245	0.0009835	0.007259	0.02155	0.001583	0.004749	0.0235
Rhodopseudomonas palustris strain BisA53	0.00247	0.008145	0.008414	0.00168	0.008384	0.0123
cyanobacterium UCYN-A	0.002487	0.008384	0	0.001447	0.003155	0.0548
Candidatus Hamiltonella defensa strain 5AT (Acyrthosiphon pisum)	0.002124	0.004337	0.005408	0.002683	0.007369	0.04251
Nitrobacter hamburgensis strain X14	0.002542	0.01873	0.01157	0.002328	0.01155	0.004243
Rhodopseudomonas palustris strain BisB18	0.002546	0.008801	0.007393	0.001873	0.01067	0.01191
