Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
histidinol dehydrogenase [EC:1.1.1.23]-08,0.15,0.12,0.08
betaine-aldehyde dehydrogenase [EC:1.2.1.8]-08,0.07,0.03,0.08
DNA topoisomerase I [EC:5.99.1.2]-08,0.14,0.11,0.08
deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]-08,0.15,0.11,0.08
acyl-CoA dehydrogenase [EC:1.3.99.3]-08,0.14,0.11,0.08
DNA polymerase III subunit alpha [EC:2.7.7.7]-30,0.03,0.06,0.08
carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]-08,0.16,0.16,0.08
elongation factor EF-G [EC:3.6.5.3]-08,0.16,0.13,0.08
ATP-dependent RNA helicase DeaD-08,0.08,0.04,0.07
3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]-08,0.11,0.08,0.07
branched-chain amino acid transport system permease protein-08,0.15,0.12,0.07
topoisomerase IV subunit B [EC:5.99.1.-]-08,0.1,0.06,0.07
DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]-08,0.24,0.23,0.07
phosphotransferase system; enzyme I; PtsP [EC:2.7.3.9]-08,0.08,0.04,0.07
glycine betaine/proline transport system permease protein-08,0.09,0.06,0.07
excinuclease ABC subunit A-08,0.18,0.17,0.07
transcription-repair coupling factor (superfamily II helicase)-08,0.14,0.1,0.07
simple sugar transport system permease protein-08,0.08,0.05,0.07
excinuclease ABC subunit A-30,0.02,0.05,0.07
pyruvate;orthophosphate dikinase [EC:2.7.9.1]-08,0.06,0.08,0.07
choline dehydrogenase [EC:1.1.99.1]-08,0.1,0.07,0.07
molecular chaperone HscA-08,0.05,0.01,0.07
cellular nucleic acid-binding protein-30,0.04,0.01,0.07
2;4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]-08,0.06,0.02,0.07
glutamate-1-semialdehyde 2;1-aminomutase [EC:5.4.3.8]-08,0.07,0.04,0.07
photosystem I core protein Ib-30,0.05,0.02,0.07
ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]-08,0.03,0.07,0.07
branched-chain amino acid transport system ATP-binding protein-08,0.11,0.1,0.07
DNA polymerase I [EC:2.7.7.7]-30,0.02,0.06,0.07
inorganic phosphate transporter; PiT family-08,0.07,0.03,0.07
phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]-08,0.18,0.15,0.07
chaperonin GroEL-30,0.04,0.07,0.07
isoleucyl-tRNA synthetase [EC:6.1.1.5]-08,0.17,0.15,0.07
aminomethyltransferase [EC:2.1.2.10]-01,0.12,0.13,0.07
malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)-08,0.13,0.11,0.07
photosystem I core protein Ia-30,0.05,0.02,0.07
adenine-specific DNA-methyltransferase [EC:2.1.1.72]-30,0.06,0.03,0.07
DNA mismatch repair protein MutL-08,0.09,0.06,0.07
glutaminyl-tRNA synthetase [EC:6.1.1.18]-08,0.06,0.02,0.07
peptide/nickel transport system substrate-binding protein-08,0.15,0.13,0.06
RNA polymerase primary sigma factor-08,0.1,0.11,0.06
acetyl-CoA C-acetyltransferase [EC:2.3.1.9]-08,0.15,0.13,0.06
glycine betaine/proline transport system substrate-binding protein-08,0.08,0.05,0.06
phosphogluconate dehydratase [EC:4.2.1.12]-08,0.05,0.03,0.06
threonine dehydratase [EC:4.3.1.19]-08,0.11,0.09,0.06
GntR family transcriptional regulator / MocR family aminotransferase-08,0.05,0.03,0.06
sulfonate/nitrate/taurine transport system ATP-binding protein-08,0.06,0.03,0.06
single-stranded-DNA-specific exonuclease [EC:3.1.-.-]-08,0.09,0.06,0.06
oxaloacetate decarboxylase; alpha subunit [EC:4.1.1.3]-08,0.05,0.02,0.06
[protein-PII] uridylyltransferase [EC:2.7.7.59]-08,0.09,0.06,0.06
peptide chain release factor RF-3-08,0.08,0.05,0.06
glutaryl-CoA dehydrogenase [EC:1.3.99.7]-08,0.07,0.03,0.06
aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit A-08,0.12,0.09,0.06
ribonuclease R [EC:3.1.-.-]-08,0.11,0.09,0.06
peptide/nickel transport system ATP-binding protein-08,0.16,0.15,0.06
trk system potassium uptake protein TrkH-08,0.09,0.06,0.06
ATP-dependent DNA helicase Rep [EC:3.6.1.-]-08,0.04,0.02,0.06
leucyl-tRNA synthetase [EC:6.1.1.4]-08,0.15,0.13,0.06
phenylacetic acid degradation protein-08,0.06,0.03,0.06
chaperonin GroEL-01,0.07,0.06,0.06
sn-glycerol 3-phosphate transport system substrate-binding protein-08,0.05,0.02,0.06
glycine dehydrogenase [EC:1.4.4.2]-30,0.02,0.05,0.06
translation initiation factor IF-2-08,0.16,0.13,0.06
DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]-01,0.11,0.12,0.06
inorganic pyrophosphatase [EC:3.6.1.1]-08,0.08,0.1,0.06
carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]-30,0.02,0.05,0.06
ATP-dependent Clp protease ATP-binding subunit ClpB-08,0.09,0.07,0.06
DNA gyrase subunit B [EC:5.99.1.3]-30,0.01,0.04,0.06
glycine betaine/proline transport system ATP-binding protein-08,0.08,0.05,0.06
5-methyltetrahydrofolate--homocysteine methyltransferase-08,0.11,0.08,0.06
glutamine synthetase [EC:6.3.1.2]-30,0.03,0.06,0.06
NADH dehydrogenase I subunit F [EC:1.6.5.3]-08,0.1,0.08,0.06
GTP-binding protein-01,0.1,0.1,0.06
preprotein translocase subunit SecA-08,0.18,0.16,0.06
magnesium chelatase subunit H [EC:6.6.1.1]-08,0,0.03,0.06
translation initiation factor IF-2-30,0.02,0.05,0.06
glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]-01,0.11,0.13,0.06
cysteine synthase B [EC:2.5.1.47]-08,0.04,0.01,0.06
photosystem II PsbD protein-08,0.01,0.04,0.06
enoyl-CoA hydratase [EC:4.2.1.17]-08,0.11,0.08,0.06
trk system potassium uptake protein TrkA-08,0.08,0.06,0.06
glutamate synthase (ferredoxin) [EC:1.4.7.1]-08,0.03,0.03,0.06
L-aspartate oxidase [EC:1.4.3.16]-08,0.06,0.03,0.06
elongation factor EF-Tu [EC:3.6.5.3]-08,0.11,0.09,0.06
C4-dicarboxylate transporter; DctM subunit-08,0.03,0.01,0.06
5-methyltetrahydropteroyltriglutamate--homocysteine-08,0.06,0.04,0.06
succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]-08,0.12,0.1,0.06
cell division protease FtsH [EC:3.4.24.-]-08,0.11,0.13,0.06
DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]-01,0.11,0.12,0.06
agmatinase [EC:3.5.3.11]-08,0.09,0.06,0.06
peptide/nickel transport system permease protein-30,0.01,0.04,0.06
3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD [EC:4.1.1.-]-08,0.05,0.02,0.06
urocanate hydratase [EC:4.2.1.49]-08,0.06,0.03,0.06
2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]-08,0.14,0.12,0.06
multiple sugar transport system permease protein-08,0.09,0.09,0.05
small subunit ribosomal protein S1-08,0.11,0.08,0.05
sarcosine oxidase; subunit beta [EC:1.5.3.1]-08,0.1,0.08,0.05
DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.1.-]-08,0.13,0.12,0.05
methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.27]-08,0.08,0.06,0.05
isocitrate lyase [EC:4.1.3.1]-08,0.06,0.03,0.05
X-Pro aminopeptidase [EC:3.4.11.9]-08,0.09,0.06,0.05
ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]-30,0.01,0.03,0.05
DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]-08,0.25,0.24,0.05
NAD(P) transhydrogenase [EC:1.6.1.1]-08,0.05,0.02,0.05
F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]-30,0.02,0.04,0.05
heavy-metal exporter; HME family-30,0,0.03,0.05
putrescine transport system permease protein-08,0.04,0.02,0.05
chaperonin GroEL-08,0.13,0.15,0.05
zinc protease [EC:3.4.99.-]-08,0.04,0.02,0.05
spermidine dehydrogenase [EC:1.5.99.6]-08,0.04,0.01,0.05
catalase/peroxidase [EC:1.11.1.6 1.11.1.7]-08,0.07,0.09,0.05
2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]-30,0.02,0.05,0.05
ribosomal RNA large subunit methyltransferase L [EC:2.1.1.52]-08,0.04,0.01,0.05
cytochrome c oxidase subunit I [EC:1.9.3.1]-30,0.02,0.05,0.05
DNA polymerase I [EC:2.7.7.7]-08,0.17,0.16,0.05
cytochrome c oxidase subunit I [EC:1.9.3.1]-08,0.14,0.13,0.05
5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]-08,0.04,0.01,0.05
phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]-30,0.02,0.05,0.05
acetolactate synthase I/II/III large subunit [EC:2.2.1.6]-30,0.02,0.05,0.05
dihydroxy-acid dehydratase [EC:4.2.1.9]-08,0.15,0.13,0.05
DNA repair protein RecN (Recombination protein N)-08,0.07,0.05,0.05
elongation factor EF-G [EC:3.6.5.3]-30,0.02,0.04,0.05
acetyl-CoA synthetase [EC:6.2.1.1]-30,0.02,0.04,0.05
DNA polymerase III subunit alpha [EC:2.7.7.7]-01,0.1,0.1,0.05
fumarate hydratase; class II [EC:4.2.1.2]-08,0.05,0.08,0.05
fructose-bisphosphate aldolase; class II [EC:4.1.2.13]-08,0.06,0.04,0.05
phosphoenolpyruvate carboxylase [EC:4.1.1.31]-08,0.03,0.06,0.05
polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]-08,0.13,0.13,0.05
DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.1.-]-30,0.02,0.04,0.05
carboxyl-terminal processing protease [EC:3.4.21.102]-08,0.11,0.09,0.05
acetyl-CoA C-acetyltransferase [EC:2.3.1.9]-30,0.02,0.04,0.05
sn-glycerol 3-phosphate transport system permease protein-08,0.04,0.02,0.05
alcohol dehydrogenase [EC:1.1.1.1]-08,0.07,0.05,0.05
DNA segregation ATPase FtsK/SpoIIIE; S-DNA-T family-08,0.11,0.1,0.05
putative endopeptidase [EC:3.4.24.-]-08,0.03,0.01,0.05
glucose inhibited division protein A-30,0.01,0.04,0.05
deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]-30,0.02,0.04,0.05
glycyl-tRNA synthetase beta chain [EC:6.1.1.14]-08,0.09,0.06,0.05
transketolase [EC:2.2.1.1]-08,0.13,0.11,0.05
threonine aldolase [EC:4.1.2.5]-08,0.06,0.03,0.05
sarcosine oxidase; subunit alpha [EC:1.5.3.1]-30,0.02,0.04,0.05
dihydrodipicolinate synthase [EC:4.2.1.52]-08,0.07,0.07,0.05
glucose-6-phosphate isomerase [EC:5.3.1.9]-08,0.08,0.06,0.05
pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16-30,0.02,0.04,0.05
iron(III) transport system permease protein-08,0.09,0.07,0.05
acetolactate synthase I/II/III large subunit [EC:2.2.1.6]-08,0.16,0.14,0.05
single-strand DNA-binding protein-08,0.03,0.04,0.05
excinuclease ABC subunit A-01,0.08,0.08,0.05
dihydroxy-acid dehydratase [EC:4.2.1.9]-30,0.02,0.04,0.05
hippurate hydrolase [EC:3.5.1.32]-08,0.07,0.06,0.05
DNA polymerase IV [EC:2.7.7.7]-08,0.05,0.03,0.05
DNA polymerase II [EC:2.7.7.7]-08,0.03,0,0.05
ATP-dependent DNA helicase RecQ [EC:3.6.1.-]-08,0.09,0.07,0.05
aminomethyltransferase [EC:2.1.2.10]-30,0.02,0.04,0.05
putative transposase-08,0.02,0.03,0.05
long-chain acyl-CoA synthetase [EC:6.2.1.3]-08,0.09,0.07,0.05
ribonuclease G [EC:3.1.26.-]-08,0.04,0.02,0.05
sarcosine oxidase; subunit alpha [EC:1.5.3.1]-01,0.11,0.11,0.05
DNA gyrase subunit A [EC:5.99.1.3]-08,0.14,0.14,0.05
O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]-08,0.09,0.07,0.05
threonyl-tRNA synthetase [EC:6.1.1.3]-08,0.12,0.1,0.05
L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]-08,0.06,0.07,0.05
transketolase [EC:2.2.1.1]-30,0.01,0.04,0.05
multiple sugar transport system substrate-binding protein-08,0.07,0.06,0.05
N-methylhydantoinase A [EC:3.5.2.14]-08,0.05,0.03,0.05
dihydropyrimidinase [EC:3.5.2.2]-08,0.05,0.03,0.05
chromosome segregation protein-30,0.02,0.04,0.05
L-serine dehydratase [EC:4.3.1.17]-08,0.04,0.02,0.05
ATP-dependent Lon protease [EC:3.4.21.53]-08,0.13,0.11,0.05
Fe-S cluster assembly protein SufB-08,0.05,0.07,0.05
ATP-dependent Lon protease [EC:3.4.21.53]-30,0.01,0.04,0.05
phytoene dehydrogenase [EC:1.14.99.-]-08,0.06,0.04,0.05
glycine dehydrogenase [EC:1.4.4.2]-08,0.15,0.13,0.05
3-deoxy-D-manno-octulosonic-acid transferase [EC:2.-.-.-]-08,0.06,0.04,0.05
succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]-30,0.01,0.04,0.05
chromosome segregation protein-08,0.13,0.12,0.05
thiol:disulfide interchange protein DsbD [EC:1.8.1.8]-08,0.04,0.01,0.05
ATP-dependent HslUV protease ATP-binding subunit HslU-08,0.05,0.05,0.05
isoleucyl-tRNA synthetase [EC:6.1.1.5]-30,0.03,0.05,0.05
aconitate hydratase 2 [EC:4.2.1.3]-30,0.01,0.03,0.05
glutamine synthetase [EC:6.3.1.2]-01,0.09,0.1,0.05
sulfonate/nitrate/taurine transport system permease protein-08,0.05,0.03,0.05
DNA gyrase subunit B [EC:5.99.1.3]-08,0.15,0.13,0.05
phosphate:Na+ symporter; PNaS family-08,0.03,0.01,0.05
cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]-08,0.03,0.05,0.05
membrane-bound lytic murein transglycosylase D [EC:3.2.1.-]-08,0.04,0.02,0.05
phycoerythrin-associated linker protein-08,0,0.02,0.05
homoserine dehydrogenase [EC:1.1.1.3]-08,0.06,0.04,0.05
cell division protein FtsI (penicillin-binding protein 3)-08,0.09,0.07,0.05
acetoacetyl-CoA synthetase [EC:6.2.1.16]-08,0.04,0.02,0.05
3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]-08,0.09,0.08,0.05
indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]-08,0.05,0.03,0.05
electron transport complex protein RnfC-08,0.03,0.01,0.05
glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]-08,0.1,0.08,0.05
ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.1.-]-08,0.03,0.05,0.05
2-isopropylmalate synthase [EC:2.3.3.13]-01,0.06,0.08,0.05
glycine hydroxymethyltransferase [EC:2.1.2.1]-08,0.07,0.07,0.05
branched-chain amino acid transport system substrate-binding protein-08,0.09,0.09,0.05
2-isopropylmalate synthase [EC:2.3.3.13]-08,0.11,0.12,0.04
ubiquinol-cytochrome c reductase cytochrome b subunit [EC:1.10.2.2]-08,0.08,0.06,0.04
adenylylsulfate reductase; subunit A [EC:1.8.99.2]-08,0.04,0.02,0.04
2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]-01,0.07,0.08,0.04
transcription termination factor Rho-08,0.09,0.07,0.04
virulence factor-08,0.07,0.06,0.04
glycolate oxidase iron-sulfur subunit-08,0.04,0.02,0.04
signal recognition particle subunit SRP54-08,0.09,0.07,0.04
ATP-dependent DNA helicase DinG [EC:3.6.1.-]-08,0.04,0.02,0.04
aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]-30,0.01,0.04,0.04
isoleucyl-tRNA synthetase [EC:6.1.1.5]-01,0.08,0.08,0.04
cell division protease FtsH [EC:3.4.24.-]-30,0.02,0.04,0.04
lipopolysaccharide export system permease protein-08,0.05,0.03,0.04
GTP-binding protein Era-08,0.05,0.03,0.04
peptide/nickel transport system ATP-binding protein-30,0.02,0.04,0.04
TatD DNase family protein [EC:3.1.21.-]-08,0.06,0.04,0.04
phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP-08,0.1,0.08,0.04
GTP-binding protein LepA-08,0.12,0.11,0.04
preprotein translocase subunit SecA-30,0.04,0.05,0.04
multidrug resistance protein; MATE family-08,0.06,0.05,0.04
glutamate-ammonia-ligase adenylyltransferase [EC:2.7.7.42]-08,0.05,0.03,0.04
glutamate--cysteine ligase [EC:6.3.2.2]-08,0.07,0.04,0.04
cell division transport system permease protein-08,0.03,0.01,0.04
propionyl-CoA synthetase [EC:6.2.1.17]-08,0.06,0.06,0.04
NADH dehydrogenase I subunit 4 [EC:1.6.5.3]-08,0,0.02,0.04
branched-chain amino acid transport system permease protein-30,0.02,0.04,0.04
acetyl-CoA synthetase [EC:6.2.1.1]-08,0.11,0.12,0.04
iron complex outermembrane recepter protein-08,0.06,0.04,0.04
ATP-independent RNA helicase DbpA-08,0.03,0.01,0.04
RNA methyltransferase; TrmA family [EC:2.1.1.-]-08,0.04,0.02,0.04
alanyl-tRNA synthetase [EC:6.1.1.7]-30,0.02,0.04,0.04
cytochrome c-type biogenesis protein CcmF-08,0.08,0.06,0.04
3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase /-08,0.07,0.05,0.04
catalase/peroxidase [EC:1.11.1.6 1.11.1.7]-30,0.01,0.03,0.04
3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]-08,0.06,0.05,0.04
DNA polymerase III subunit epsilon [EC:2.7.7.7]-08,0.06,0.04,0.04
chromosome partitioning protein; ParB family-08,0.05,0.03,0.04
threonine synthase [EC:4.2.3.1]-08,0.07,0.06,0.04
glucosamine--fructose-6-phosphate aminotransferase (isomerizing)-08,0.11,0.09,0.04
preprotein translocase subunit SecA-01,0.08,0.08,0.04
polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]-30,0.01,0.04,0.04
iron complex outermembrane recepter protein-30,0.01,0.03,0.04
molecular chaperone HtpG-08,0.09,0.07,0.04
two-component system; NtrC family; C4-dicarboxylate transport sensor-08,0.03,0.01,0.04
ribosomal protein L11 methyltransferase [EC:2.1.1.-]-08,0.04,0.02,0.04
cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]-08,0.05,0.05,0.04
amidophosphoribosyltransferase [EC:2.4.2.14]-30,0.01,0.03,0.04
O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]-08,0.03,0.01,0.04
isocitrate dehydrogenase [EC:1.1.1.42]-30,0.01,0.03,0.04
cell division protein FtsA-08,0.06,0.04,0.04
outer membrane protein-08,0.09,0.08,0.04
UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]-08,0.05,0.03,0.04
phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]-08,0.11,0.09,0.04
cytochrome c peroxidase [EC:1.11.1.5]-08,0.04,0.02,0.04
valyl-tRNA synthetase [EC:6.1.1.9]-30,0.02,0.04,0.04
porphobilinogen synthase [EC:4.2.1.24]-08,0.07,0.05,0.04
gamma-glutamyltranspeptidase [EC:2.3.2.2]-30,0.01,0.03,0.04
LacI family transcriptional regulator-08,0.04,0.02,0.04
octaprenyl diphosphate synthase [EC:2.5.1.-]-08,0.06,0.04,0.04
putative spermidine/putrescine transport system ATP-binding protein-08,0.04,0.03,0.04
oxaloacetate decarboxylase; beta subunit [EC:4.1.1.3]-08,0.03,0.01,0.04
histidine ammonia-lyase [EC:4.3.1.3]-08,0.06,0.04,0.04
GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]-08,0.09,0.08,0.04
ATP-binding cassette; subfamily B; bacterial-30,0.01,0.03,0.04
phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]-01,0.08,0.08,0.04
cobaltochelatase CobT [EC:6.6.1.2]-08,0.03,0.04,0.04
aspartyl-tRNA synthetase [EC:6.1.1.12]-08,0.1,0.09,0.04
lysyl-tRNA synthetase; class II [EC:6.1.1.6]-08,0.07,0.05,0.04
fumarate hydratase; class I [EC:4.2.1.2]-08,0.03,0.01,0.04
dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]-08,0.03,0.01,0.04
peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]-08,0.05,0.03,0.04
formate--tetrahydrofolate ligase [EC:6.3.4.3]-08,0.07,0.06,0.04
DNA gyrase subunit A [EC:5.99.1.3]-30,0.02,0.04,0.04
DNA polymerase III subunit beta [EC:2.7.7.7]-08,0.07,0.05,0.04
glycolate oxidase [EC:1.1.3.15]-08,0.05,0.02,0.04
dihydroorotase [EC:3.5.2.3]-30,0.01,0.03,0.04
valyl-tRNA synthetase [EC:6.1.1.9]-08,0.14,0.13,0.04
replicative DNA helicase [EC:3.6.1.-]-08,0.08,0.06,0.04
F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]-30,0.03,0.04,0.04
dipeptide transport system ATP-binding protein-08,0.02,0,0.04
carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]-01,0.09,0.09,0.04
inorganic pyrophosphatase [EC:3.6.1.1]-30,0.02,0.04,0.04
NADH dehydrogenase I subunit D [EC:1.6.5.3]-08,0.04,0.04,0.04
aconitate hydratase 1 [EC:4.2.1.3]-30,0.01,0.03,0.04
NADH dehydrogenase I subunit 5 [EC:1.6.5.3]-08,0,0.02,0.04
tyrosyl-tRNA synthetase [EC:6.1.1.1]-08,0.07,0.06,0.04
3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]-08,0.04,0.02,0.04
mercuric reductase [EC:1.16.1.1]-08,0.04,0.02,0.04
DNA topoisomerase I [EC:5.99.1.2]-01,0.07,0.07,0.04
amidophosphoribosyltransferase [EC:2.4.2.14]-08,0.09,0.09,0.04
branched-chain amino acid transport system permease protein-01,0.07,0.08,0.04
electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]-08,0.06,0.06,0.04
exodeoxyribonuclease V beta subunit [EC:3.1.11.5]-08,0.03,0.02,0.04
3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]-08,0.04,0.02,0.04
DNA polymerase III subunit delta [EC:2.7.7.7]-08,0.05,0.03,0.04
leucyl-tRNA synthetase [EC:6.1.1.4]-01,0.07,0.08,0.04
ubiquinone biosynthesis protein-08,0.08,0.06,0.04
isopentenyl-diphosphate delta-isomerase [EC:5.3.3.2]-08,0.03,0.01,0.04
3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit-30,0.01,0.03,0.04
heavy-metal exporter; HME family-08,0.01,0.03,0.04
acyl-CoA dehydrogenase [EC:1.3.99.3]-30,0.01,0.03,0.04
ATP-binding cassette; sub-family F; member 3-08,0.08,0.06,0.04
enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9]-08,0.04,0.06,0.04
transcription-repair coupling factor (superfamily II helicase)-30,0.01,0.03,0.04
NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]-08,0.08,0.07,0.04
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]-08,0.05,0.03,0.04
soluble lytic murein transglycosylase [EC:3.2.1.-]-08,0.03,0.05,0.04
valine--pyruvate aminotransferase [EC:2.6.1.66]-08,0.02,0,0.04
malate synthase [EC:2.3.3.9]-08,0.09,0.08,0.04
adenosine deaminase [EC:3.5.4.4]-08,0.04,0.02,0.04
sarcosine dehydrogenase [EC:1.5.99.1]-08,0.04,0.04,0.04
DNA topoisomerase I [EC:5.99.1.2]-30,0.02,0.04,0.04
molecular chaperone DnaK-08,0.13,0.12,0.04
N-methylhydantoinase B [EC:3.5.2.14]-08,0.05,0.03,0.04
oligopeptidase A [EC:3.4.24.70]-08,0.04,0.02,0.04
elongation factor EF-G [EC:3.6.5.3]-01,0.06,0.07,0.04
hydrophobic/amphiphilic exporter-1 (mainly G- bacteria); HAE1 family-30,0.01,0.02,0.04
aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]-08,0.06,0.05,0.04
ATP-binding cassette; subfamily B; bacterial-08,0.14,0.15,0.04
general L-amino acid transport system permease protein-08,0.07,0.06,0.04
aconitate hydratase 2 [EC:4.2.1.3]-08,0.09,0.1,0.04
kynureninase [EC:3.7.1.3]-08,0.04,0.02,0.04
glutamyl-tRNA reductase [EC:1.2.1.70]-08,0.05,0.03,0.04
preprotein translocase subunit SecY-08,0.08,0.06,0.04
flagellin-30,0.01,0.02,0.04
pyruvate carboxylase [EC:6.4.1.1]-08,0.05,0.05,0.04
peptide chain release factor RF-1-08,0.07,0.06,0.04
primosomal protein N' (replication factor Y) (superfamily II-08,0.1,0.09,0.04
excinuclease ABC subunit C-08,0.09,0.07,0.04
NADH dehydrogenase I subunit M [EC:1.6.5.3]-08,0.05,0.05,0.04
